codigo,descricao,tipo,u
DEVOL_VENDA_PROD,Devolução de venda de produção do estabelecimento,E,
VENDA_ORDEM,Venda à Ordem - entrega ao destinatário pelo vendedor remetente (merc. de terceiros),S,
VENDA_SERV_EXPORT,Exportação de Serviço,S,
VENDA_ZFM,Venda para Zona Franca de Manaus,S,
ENTRADA_INDUST,Entrada de mercadoria recebida para industrialização por encomenda,E,
RETORNO_DEPOSITO,Retorno de mercadoria depositada em depósito fechado ou armazém geral,E,
RETORNO_COMODATO,Retorno de bem remetido por conta de contrato de comodato ou locação,E,
ENTRADA_BONIF,Entrada de Bonificação,E,
ENTRADA_AMOSTRA,Entrada de amostra grátis,E,
ENTRADA_DEMO,Entrada de Demonstração,E,
RETORNO_EXPOSICAO,Retorno de mercadoria ou bem remetido para exposição ou feira,E,
ENTRADA_CONSIGN,Entrada em Consignação,E,
ENTRADA_TRANSF_ATIVO,Entrada por Transferência de Ativo Imobilizado,E,
COMPRA_SERV,Tomada de Servico,E,
TRANSFER_PROD,Transferência de Mercadoria - Estabelecimentos mesmo titular,S,
VENDA,Venda de Mercadoria,S,
REMESSA_FUTURA,Remessa Entrega Futura,S,
SAIDA_ATIVO,Venda de Ativo Imobilizado,S,
ENTRADA_TRANSF_USO,Entrada por Transferência de Uso e Consumo,E,
COMPRA_PROD,Compra para Industrialização,E,
ENTRADA_TRANSF_PROD,Entrada por Transferência para Industrialização,E,
COMPRA_ORDEM_ORIG,Compra em Venda à Ordem (adquirente originário),E,
INDUSTRIALIZACAO_ENCOMENDA,Industrialização efetuada para outra empresa (mão de obra e insumos próprios),S,
DEVOL_COMPRA_PROD,Devolução de compra para industrialização ou produção rural,S,
COMPRA,Compra de Mercadoria,E,
ENTRADA_TRANSF,Entrada por Transferência,E,
DEVOL_VENDA_ST_PROD,Devolução de venda com ST (produção própria - substituto),E,
DEVOL_VENDA_ST,Devolução de venda com ST - substituto (revenda terceiros),E,
DEVOL_VENDA_ST_SUB,Devolução de venda com ST já retida (substituído),E,
VENDA_ST_SUBSTITUIDO,Venda com ST ja retida (substituido),S,
COMPRA_ST,Compra com ST,E,
SIMPLES_FATURA,Simples Faturamento,S,
REMESSA_INDUST,Remessa para Industrialização,S,
RETORNO_INDUST_INSUMO,Retorno de mercadoria utilizada na industrialização por encomenda,S,
RETORNO_INDUST_NAO_APLICADO,Retorno de mercadoria recebida para industrialização e não aplicada,S,
REMESSA_DEPOSITO,Remessa para depósito fechado,S,S
REMESSA_CONSIGN,Remessa em Consignação,S,
REMESSA_INDUST_TRIANGULAR,Remessa para industrialização por conta e ordem do adquirente,S,S
VENDA_SERV,Prestação de Serviço,S,
DEVOL_VENDA,Devolução de Venda,E,
REMESSA_COMODATO,Remessa de bem por conta de contrato de comodato ou locação,S,
COMPL_ICMS,Complemento de ICMS,S,
COMPL_IPI,Complemento de IPI,S,
VENDA_EXPORT,Exportação de Mercadoria,S,
DEVOL_IMPORT,Devolução de importação (exportação),S,
COMPL_PRECO,Complemento de Preço,S,
TRANSFER,Transferência de Mercadoria - Estabelecimentos mesmo titular,S,
RETORNO_INDUST,Retorno de Industrialização,E,
RETORNO_DEMO,Retorno de Demonstração,E,
RETORNO_REPARO,Retorno de Conserto/Reparo,E,
RETORNO_CONSIGN,Retorno de Consignação,E,
RETORNO_INDUST_TRIANGULAR,Retorno de mercadoria recebida para industrialização por conta e ordem do adquirente,S,S
FRETE_TOMADO,Frete Tomado (CT-e),E,
REMESSA_BRINDE,Remessa de Brinde,S,
BONIFICACAO,Bonificação / Brinde,S,
REMESSA_AMOSTRA,Remessa de amostra grátis,S,
REMESSA_EXPORT,Remessa para o Exterior,S,
VENDA_PROD_EXPORT,Exportação de Produção do Estabelecimento,S,
COMPRA_PROD_IMPORT,Importação para Industrialização,E,
COMPRA_IMPORT,Importação de Mercadoria,E,
COMPRA_ATIVO,Compra de Ativo Imobilizado,E,
COMPRA_USO,Compra para Uso e Consumo,E,
DEVOL_COMPRA,Devolução de Compra,S,
VENDA_PROD,Venda de Produção do Estabelecimento,S,
VENDA_ST_PRODUCAO,Venda com ST (producao propria - substituto),S,
VENDA_ST,Venda com ST (substituto - revenda de terceiros),S,
REMESSA_DEMO,Remessa para Demonstração,S,
REMESSA_EXPOSICAO,Remessa de mercadoria ou bem para exposição ou feira,S,
REMESSA_REPARO,Remessa para Conserto/Reparo,S,
